#old_id	new_id
evm.model.jcf7180007902647.2	CcGene_00304
evm.model.jcf7180007902674.1	CcGene_00305
evm.model.jcf7180007902674.2	CcGene_00306
evm.model.jcf7180007902675.1	CcGene_00307
evm.model.jcf7180007902675.2	CcGene_00308
evm.model.jcf7180007902675.3	CcGene_00309
evm.model.jcf7180007902675.4	CcGene_00310
evm.model.jcf7180007902675.5	CcGene_00311
evm.model.jcf7180007902676.1	CcGene_00312
evm.model.jcf7180007902676.2	CcGene_00313
evm.model.jcf7180007902679.1	CcGene_00314
evm.model.jcf7180007902680.1	CcGene_00315
evm.model.jcf7180007902681.1	CcGene_00316
evm.model.jcf7180007902682.1	CcGene_00317
evm.model.jcf7180007902682.2	CcGene_00318
evm.model.jcf7180007902682.3	CcGene_00319
evm.model.jcf7180007902683.1	CcGene_00320
evm.model.jcf7180007902683.2	CcGene_00321
evm.model.jcf7180007902685.1	CcGene_00322
evm.model.jcf7180007902685.2	CcGene_00323
evm.model.jcf7180007902716.1	CcGene_00324
evm.model.jcf7180007902716.2	CcGene_00325
evm.model.jcf7180007902750.1	CcGene_00326
evm.model.jcf7180007902750.10	CcGene_00327
evm.model.jcf7180007902750.11	CcGene_00328
evm.model.jcf7180007902750.12	CcGene_00329
evm.model.jcf7180007902750.2	CcGene_00330
evm.model.jcf7180007902750.3	CcGene_00331
evm.model.jcf7180007902750.4	CcGene_00332
evm.model.jcf7180007902750.5	CcGene_00333
evm.model.jcf7180007902750.6	CcGene_00334
evm.model.jcf7180007902750.7	CcGene_00335
evm.model.jcf7180007902750.8	CcGene_00336
evm.model.jcf7180007902750.9	CcGene_00337
evm.model.jcf7180007902751.1	CcGene_00338
evm.model.jcf7180007902752.1	CcGene_00339
evm.model.jcf7180007902752.2	CcGene_00340
evm.model.jcf7180007902752.3	CcGene_00341
evm.model.jcf7180007902753.1	CcGene_00342
evm.model.jcf7180007902753.2	CcGene_00343
evm.model.jcf7180007902754.1	CcGene_00344
evm.model.jcf7180007902756.1	CcGene_00345
evm.model.jcf7180007902758.1	CcGene_00346
evm.model.jcf7180007902758.2	CcGene_00347
evm.model.jcf7180007902760.1	CcGene_00348
evm.model.jcf7180007902760.2	CcGene_00349
evm.model.jcf7180007902760.3	CcGene_00350
evm.model.jcf7180007902760.4	CcGene_00351
evm.model.jcf7180007902762.1	CcGene_00352
evm.model.jcf7180007902762.2	CcGene_00353
evm.model.jcf7180007902763.1	CcGene_00354
evm.model.jcf7180007902764.1	CcGene_00355
evm.model.jcf7180007902766.1	CcGene_00356
evm.model.jcf7180007902783.1	CcGene_00357
evm.model.jcf7180007902787.1	CcGene_00358
evm.model.jcf7180007902833.1	CcGene_00359
evm.model.jcf7180007902836.1	CcGene_00360
evm.model.jcf7180007902836.2	CcGene_00361
evm.model.jcf7180007902836.3	CcGene_00362
evm.model.jcf7180007902836.4	CcGene_00363
evm.model.jcf7180007902836.5	CcGene_00364
evm.model.jcf7180007902836.6	CcGene_00365
evm.model.jcf7180007902837.1	CcGene_00366
evm.model.jcf7180007902837.2	CcGene_00367
evm.model.jcf7180007902838.1	CcGene_00368
evm.model.jcf7180007902838.2	CcGene_00369
evm.model.jcf7180007902839.1	CcGene_00370
evm.model.jcf7180007902839.2	CcGene_00371
evm.model.jcf7180007902839.3	CcGene_00372
evm.model.jcf7180007902840.1	CcGene_00373
evm.model.jcf7180007902842.1	CcGene_00374
evm.model.jcf7180007902842.2	CcGene_00375
evm.model.jcf7180007902842.3	CcGene_00376
evm.model.jcf7180007902842.4	CcGene_00377
evm.model.jcf7180007902842.5	CcGene_00378
evm.model.jcf7180007902843.1	CcGene_00379
